Distance (m),Height (m)
40500.0,-24.97109625207017
40750.0,-24.14470253517817
41000.0,-143.31830881828614
41250.0,-22.655625810658847
41500.0,-22.09550550967728
41750.0,-141.53538520869571
42000.0,-21.01529130427147
42250.0,-21.36155926446196
42500.0,-141.70782722465242
42750.0,-22.146727526469505
43000.0,-23.085943122865956
43250.0,-144.0251587192624
43500.0,-24.96437431565886
43750.0,-24.397651770412068
44000.0,-143.77155486058274
44250.0,-23.14545795075344
44500.0,-23.240302170621987
44750.0,-143.55332807834483
45000.0,-23.86635398606768
45250.0,-23.21667829577052
45500.0,-141.84974701755402
45750.0,-20.482815739337525
46000.0,-19.115884461121055
46250.0,-140.15138263924783
46500.0,-21.409417847264564
46750.0,-22.66745305528127
47000.0,-143.92548826329798
47250.0,-19.64303101801869
47500.0,-15.011757948731344
47750.0,-170.3804848794441
48000.0,-107.60995314444378
48250.0,-206.80738384625334
48500.0,-106.0048145480628
48750.0,-204.14480618256042
49000.0,-102.27841604219267
49250.0,-201.3689705671036
49500.0,-102.54018377303422
49750.0,-203.71139697896498
50000.0,-104.88261018489561
50250.0,-205.22483987246176
50500.0,-105.47472560297331
50750.0,-205.724611333485
51000.0,-105.97449706399655
51250.0,-205.47424261020407
51500.0,-104.88872860183685
51750.0,-204.30321459346976
52000.0,-104.84814989855684
52250.0,-206.6072879647144
52500.0,-108.36642603087185
52750.0,-169.98943419454253
53000.0,-11.535815569153812
53250.0,-13.082196943765211
53500.0,-134.62857831837664
53750.0,-14.334784575067403
54000.0,-13.459284973371297
54250.0,-132.5837853716752
54500.0,-11.744170612683291
54750.0,-10.976369444115392
55000.0,-170.20856827554763
55250.0,-109.4407671069797
55500.0,-208.4759805119541
55750.0,-107.24570262187714
56000.0,-206.01542473180027
56250.0,-105.2548376615305
56500.0,-206.71407215942864
56750.0,-108.17330665732666
57000.0,-169.6325411552248
57250.0,-11.091775653122795
57500.0,-12.70837675026442
57750.0,-134.58436358930837
58000.0,-16.460350428352342
58250.0,-17.2840098033829
58500.0,-173.2904345563216
58750.0,-109.2968593092601
59000.0,-205.3032840621987
59250.0,-101.30970881513721
59500.0,-197.31613356807583
59750.0,-97.00000000000006
60000.0,-197.0000000000001
60250.0,-97.00000000000006
60500.0,-197.0000000000001
